Title: The Panchromatic Hubble Andromeda Treasury: Triangulum Extended 
       Region (PHATTER). IV. Star Cluster Catalog  
Authors: Johnson L.C., Wainer T.M., TorresVillanueva E.E., Seth A.C., 
         Williams B.F., Durbin M.J., Dalcanton J.J., Weisz D.R., Bell E.F.,
         Guhathakurta P., Skillman E., Smercina A. 
Table: SLUG Results
================================================================================
Byte-by-byte Description of file: apjac8deft3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label       Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---         ID          PHATTER Catalog ID
       6 A1     ---         ErrCutFlag  Exclude flag (1)
       8 I1     ---         Nfilters    Number of filters used for fit
  10- 13 F4.2   [solMass]   logM-P16    The 16th percentile of log Mass PDF (2)
  15- 18 F4.2   [solMass]   logM-P50    The 50th percentile of log Mass PDF (2)
  20- 23 F4.2   [solMass]   logM-P84    The 84th percentile of log Mass PDF (2)
  25- 28 F4.2   [yr]        logAge-P16  The 16th percentile of log Age PDF (2)
  30- 33 F4.2   [yr]        logAge-P50  The 50th percentile of log Age PDF (2)
  35- 38 F4.2   [yr]        logAge-P84  The 84th percentile of log Age PDF (2)
  40- 43 F4.2   mag         AV-P16      The 16th percentile of AV PDF (2)
  45- 48 F4.2   mag         AV-P50      The 50th percentile of AV PDF (2)
  50- 53 F4.2   mag         AV-P84      The 84th percentile of AV PDF (2)
--------------------------------------------------------------------------------
Note (1): Set to true for clusters with large uncertainties (16th to 84th
          percentile range >1.2 dex in age or >1.3 dex in mass).
Note (2): Percentiles of the marginalized 1D PDFs.
--------------------------------------------------------------------------------
 413 F 6 3.10 3.31 3.49 7.69 7.89 8.04 0.35 0.56 0.77
 415 F 6 2.91 3.40 3.52 7.83 8.37 8.51 0.32 0.56 0.86
 416 F 4 2.41 3.23 3.47 6.45 7.01 7.25 0.42 0.59 0.73
 417 F 3 2.57 3.10 3.35 7.77 8.03 8.27 0.35 0.63 1.02
 418 F 6 3.35 3.50 3.61 8.08 8.32 8.42 0.30 0.55 1.08
 419 F 6 3.74 3.90 3.99 8.33 8.50 8.67 0.49 0.76 1.05
 420 F 6 3.94 4.07 4.21 8.64 8.76 8.88 0.51 0.88 1.23
 421 F 3 2.65 3.20 3.48 7.67 7.94 8.27 0.36 0.68 1.16
 424 F 4 2.66 3.74 3.87 7.71 8.47 8.61 0.27 0.48 0.78
 425 F 5 2.85 3.17 3.36 7.81 8.06 8.22 0.37 0.66 1.00
 426 F 4 3.56 3.79 3.90 7.99 8.28 8.41 0.25 0.44 0.69
 427 T 6 2.53 3.66 3.79 6.60 7.79 7.92 0.26 0.33 0.57
 428 T 4 2.21 2.63 3.67 6.58 7.62 8.34 0.24 0.47 0.77
 429 F 6 3.08 3.41 3.66 7.63 7.86 8.07 0.67 1.05 1.45
 430 F 4 3.10 3.59 3.70 7.74 8.13 8.29 0.35 0.58 0.84
 431 F 5 3.17 3.37 3.53 7.98 8.20 8.39 0.25 0.44 0.70
 432 F 6 3.58 3.65 3.73 7.27 7.33 7.40 0.40 0.50 0.60
 433 F 4 2.97 3.56 3.66 7.70 8.20 8.31 0.24 0.41 0.65
 434 F 4 2.64 3.37 3.49 7.81 8.40 8.52 0.27 0.48 0.75
 435 T 6 2.46 3.01 4.36 7.07 7.19 8.53 0.25 0.49 0.86
 437 F 4 2.16 2.44 2.94 6.06 6.24 7.01 0.55 0.75 0.94
 438 T 4 2.32 3.68 3.82 6.66 8.31 8.49 0.23 0.47 0.80
 439 F 6 2.86 3.08 3.24 7.57 7.64 7.76 0.52 0.76 0.94
 440 F 4 2.26 2.65 2.99 6.33 6.66 6.89 0.72 0.86 1.00
 443 F 6 3.24 3.62 3.80 7.67 7.77 8.02 0.22 0.50 0.72
 444 F 6 3.39 3.53 3.65 8.03 8.16 8.28 0.58 0.84 1.05
 445 F 6 2.26 2.89 3.31 6.46 6.63 6.83 0.48 0.55 0.61
 448 F 6 3.11 3.26 3.36 7.76 7.85 7.93 0.27 0.39 0.56
 450 F 6 2.86 3.40 3.56 7.85 8.26 8.36 0.82 1.13 1.40
 452 T 5 2.38 4.24 4.42 7.35 8.73 9.14 0.37 0.71 1.41
 453 F 5 3.39 3.84 4.02 7.83 8.38 8.66 0.39 0.67 0.95
 454 F 6 3.24 3.42 3.55 8.21 8.41 8.55 0.49 0.77 1.06
 455 F 6 3.03 3.28 3.44 7.63 7.81 7.91 0.24 0.35 0.67
 457 F 6 2.99 3.31 3.51 7.71 7.93 8.11 0.49 0.80 1.16
 458 F 6 3.22 3.38 3.50 7.99 8.16 8.28 0.29 0.48 0.70
 461 F 4 2.66 3.14 3.35 7.79 8.13 8.37 0.32 0.60 1.00
 462 F 3 2.60 3.56 3.78 7.73 8.43 8.79 0.43 0.78 1.22
 463 T 4 2.29 2.73 2.97 6.12 6.38 7.77 0.25 1.50 1.81
 464 F 6 2.76 3.33 3.46 7.77 8.13 8.24 0.18 0.32 0.48
 465 F 6 3.18 3.41 3.56 7.75 7.98 8.15 0.30 0.50 0.78
 467 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.81 2.50 4.20
 468 F 6 2.89 3.61 3.77 7.80 8.46 8.73 0.41 0.74 1.07
 469 F 4 2.83 3.42 3.61 7.63 7.92 8.19 0.45 0.77 1.20
 471 F 5 2.20 3.26 3.50 7.72 8.23 8.56 0.24 0.40 0.61
 472 F 6 3.46 3.64 3.75 7.90 8.09 8.22 0.33 0.58 0.80
 473 F 6 3.02 3.26 3.41 7.93 8.17 8.31 0.33 0.57 0.85
 474 F 4 2.89 3.06 3.19 8.21 8.39 8.51 0.28 0.51 0.82
 476 F 6 2.86 2.98 3.12 7.61 7.69 7.78 0.35 0.56 0.82
 477 F 3 3.64 3.80 3.90 8.35 8.56 8.70 0.31 0.51 0.70
 478 F 5 3.32 3.85 4.04 7.76 8.31 8.62 0.38 0.64 0.95
 479 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 485 F 4 2.21 2.55 2.95 6.57 6.69 7.20 0.25 0.38 0.49
 488 F 4 2.84 3.17 3.34 7.38 7.91 8.11 0.28 0.54 1.28
 490 F 4 2.95 3.26 3.39 7.91 8.43 8.58 0.33 0.61 1.06
 492 T 4 2.51 3.22 3.43 6.59 7.63 7.89 0.29 0.59 1.11
 495 F 6 2.26 2.61 2.83 6.10 6.53 6.63 0.73 0.88 1.05
 496 F 3 2.78 3.43 3.59 7.85 8.50 8.67 0.29 0.51 0.85
 497 F 6 3.20 3.51 3.65 7.72 7.99 8.26 0.50 0.90 1.25
 502 F 6 3.07 3.26 3.39 7.72 7.92 8.08 0.76 1.04 1.31
 503 F 4 3.08 3.59 3.77 7.49 7.86 8.09 0.28 0.52 0.92
 506 T 4 2.23 2.56 3.36 6.54 6.66 7.83 0.32 0.57 1.06
 508 F 3 2.84 3.71 4.10 7.41 7.96 8.53 0.46 0.93 1.52
 514 F 4 2.68 3.27 3.49 7.60 7.90 8.13 0.27 0.48 0.77
 515 F 4 2.43 2.92 3.14 6.56 7.07 7.46 0.78 1.13 1.41
 517 F 6 2.99 3.21 3.38 7.66 7.82 7.98 0.30 0.51 0.77
 518 T 4 2.69 3.09 3.29 6.88 7.86 8.09 0.33 0.67 1.66
 519 F 6 3.25 3.42 3.64 7.47 7.62 7.77 1.26 1.74 2.10
 520 T 4 2.28 3.47 3.62 7.67 8.41 8.58 0.25 0.45 0.73
 521 F 4 3.73 3.91 4.02 8.09 8.38 8.51 0.27 0.50 0.81
 524 T 4 2.23 3.37 3.52 6.64 8.37 8.53 0.25 0.44 0.87
 525 F 5 3.95 4.02 4.08 8.57 8.67 8.76 0.25 0.32 0.42
 526 F 6 2.31 2.35 2.41 6.76 6.81 6.86 1.05 1.10 1.15
 529 F 4 2.24 2.60 2.98 6.34 6.54 6.78 0.86 0.98 1.09
 530 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 533 T 3 2.49 3.11 3.49 6.40 7.65 8.05 0.39 0.89 2.04
 534 T 4 2.48 3.50 3.74 6.61 7.80 8.11 0.29 0.56 0.90
 536 F 6 2.80 3.22 3.38 7.63 7.91 8.09 0.34 0.68 0.98
 538 F 3 2.66 2.92 3.11 7.94 8.19 8.39 0.28 0.54 1.02
 541 F 5 2.70 3.00 3.26 7.65 7.75 7.93 0.45 0.81 1.23
 542 T 4 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 543 F 4 2.55 3.37 3.51 7.74 8.26 8.42 0.28 0.48 0.78
 544 F 6 3.26 3.38 3.48 8.20 8.31 8.41 0.44 0.66 0.86
 545 F 4 2.92 3.19 3.30 7.83 8.07 8.18 0.18 0.33 0.65
 547 F 4 2.96 3.41 3.59 7.66 7.95 8.17 0.31 0.53 0.84
 550 F 5 3.79 3.92 4.02 8.47 8.65 8.78 0.36 0.59 0.79
 551 F 6 2.48 2.84 2.93 6.28 6.34 6.41 0.78 0.85 0.92
 560 T 6 2.61 2.95 4.30 6.86 7.59 9.14 0.19 1.82 3.99
 564 F 4 2.80 3.04 3.19 7.51 7.92 8.09 0.22 0.51 0.99
 566 F 6 3.35 3.53 3.70 7.65 7.84 8.00 1.00 1.39 1.67
 570 F 6 3.08 3.26 3.41 7.56 7.70 7.87 0.60 0.89 1.14
 571 F 4 2.85 3.08 3.25 7.69 7.90 8.07 0.17 0.34 1.10
 572 F 4 2.84 3.05 3.19 7.53 7.75 7.87 0.24 0.44 0.78
 573 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 575 F 4 3.00 3.40 3.60 7.66 7.96 8.14 0.37 0.64 0.98
 578 F 4 2.71 2.90 3.06 8.00 8.21 8.37 0.26 0.49 0.87
 579 F 6 2.68 3.36 3.61 7.65 7.98 8.27 0.62 1.17 1.64
 584 F 6 2.76 3.03 3.23 7.82 8.00 8.17 0.33 0.57 0.90
 585 F 4 2.61 2.80 2.94 7.25 7.50 7.70 0.41 0.64 0.92
 586 F 6 3.76 3.87 3.98 7.39 7.55 7.70 0.69 0.86 1.09
 587 F 5 3.37 3.62 3.78 8.03 8.29 8.49 0.37 0.61 0.88
 588 F 6 3.20 3.44 3.51 7.32 7.39 7.45 0.48 0.54 0.61
 591 F 6 2.64 2.92 3.14 7.58 7.73 8.01 0.57 0.88 1.26
 593 F 6 3.09 3.29 3.43 7.87 8.02 8.14 0.47 0.70 0.96
 594 F 6 3.22 3.44 3.57 7.38 7.57 7.76 0.32 0.57 0.83
 595 F 4 2.27 2.68 3.04 6.40 6.64 6.87 0.20 0.32 0.45
 596 F 4 2.25 2.64 3.00 6.24 6.57 6.87 0.31 0.45 0.58
 597 F 4 3.23 3.58 3.69 7.77 8.14 8.28 0.32 0.55 0.82
 598 F 4 2.55 3.48 3.60 7.71 8.33 8.49 0.23 0.39 0.62
 600 F 4 2.23 2.59 2.96 6.22 6.61 7.02 0.46 0.66 0.86
 601 F 6 3.72 3.82 3.92 8.24 8.34 8.46 0.46 0.79 1.04
 602 F 6 3.33 3.47 3.58 7.84 7.97 8.08 0.47 0.66 0.87
 603 F 5 2.86 3.01 3.10 6.77 6.83 6.88 0.21 0.33 0.46
 605 F 4 3.03 3.17 3.26 7.51 7.69 7.84 0.35 0.57 0.80
 607 F 3 2.56 3.54 3.83 7.72 8.43 8.81 0.42 0.77 1.26
 608 F 6 3.49 3.68 3.86 7.53 7.67 7.82 0.32 0.55 0.89
 610 F 6 3.60 3.68 3.74 8.51 8.59 8.67 0.39 0.60 0.77
 613 F 5 2.64 3.37 3.76 7.79 8.25 8.88 0.51 1.01 1.54
 615 F 6 3.21 3.49 3.60 8.14 8.43 8.55 0.36 0.62 0.89
 616 F 5 2.74 3.56 3.87 7.75 8.32 8.89 0.49 1.00 1.55
 617 F 5 2.74 3.37 3.57 7.84 8.41 8.70 0.37 0.65 1.02
 618 F 4 2.72 2.90 3.02 7.26 7.49 7.65 0.27 0.45 0.71
 619 F 3 3.20 3.38 3.50 8.29 8.51 8.64 0.29 0.53 0.88
 622 F 4 2.83 3.20 3.39 7.60 7.85 8.01 0.27 0.50 0.84
 623 F 6 3.07 3.27 3.41 7.76 7.92 8.05 0.25 0.42 0.62
 624 T 6 2.67 4.05 4.33 6.83 8.07 9.17 0.82 1.91 4.01
 625 F 5 2.72 3.23 3.55 7.81 8.17 8.59 0.42 0.77 1.20
 626 F 6 2.64 3.39 3.54 6.63 7.31 7.57 0.36 0.55 0.81
 627 F 4 2.78 2.98 3.13 7.74 8.03 8.20 0.28 0.54 1.01
 628 F 6 2.83 3.06 3.29 6.30 6.51 6.63 1.09 1.33 1.43
 629 F 6 2.10 2.17 2.40 6.40 6.67 6.76 0.65 0.72 0.79
 631 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 633 F 4 2.23 2.71 3.05 6.57 6.75 6.95 0.23 0.34 0.45
 635 F 6 3.35 3.64 3.79 7.66 7.92 8.09 0.61 0.92 1.18
 638 F 3 2.52 3.36 3.67 7.64 8.09 8.51 0.31 0.58 0.97
 641 F 4 2.86 3.29 3.57 6.14 6.45 6.65 0.19 0.33 0.50
 642 F 6 3.46 3.58 3.70 7.15 7.23 7.32 0.28 0.41 0.59
 646 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 649 T 6 2.48 3.49 4.52 6.64 7.99 9.36 0.81 2.50 4.20
 650 T 4 3.00 3.44 3.64 6.52 7.57 7.78 0.33 0.63 1.32
 652 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 653 F 6 2.86 3.13 3.30 6.56 6.69 6.92 0.75 0.86 1.00
 656 F 4 2.42 2.80 3.22 6.50 6.61 6.88 0.23 0.33 0.43
 659 F 6 2.97 3.08 3.23 7.51 7.59 7.68 0.46 0.59 0.73
 660 F 6 3.10 3.30 3.49 7.29 7.45 7.58 0.36 0.64 0.87
 661 F 6 2.83 3.29 3.57 7.74 8.07 8.39 0.47 0.80 1.21
 662 F 6 3.47 3.60 3.72 8.34 8.44 8.63 0.31 0.57 0.86
 663 F 4 2.23 2.65 3.20 6.08 6.44 6.78 0.64 0.94 1.25
 666 F 4 2.26 2.77 3.35 6.10 6.58 7.17 0.35 0.55 0.77
 667 T 4 2.41 3.11 3.50 6.34 6.85 7.83 0.41 1.06 1.69
 669 T 4 2.48 3.50 4.52 6.64 8.00 9.36 0.81 2.50 4.20
 670 T 6 2.58 3.56 4.42 6.74 7.70 9.26 0.31 2.21 4.11
 671 F 4 2.55 3.50 3.63 7.57 8.07 8.22 0.18 0.33 0.58
 673 F 6 3.07 3.58 3.86 7.61 8.07 8.63 0.52 1.17 1.90
 675 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.81 2.50 4.20
 679 T 4 2.37 2.86 3.61 6.52 6.65 7.76 0.37 0.56 0.81
 685 F 6 2.43 2.85 3.14 6.36 6.52 6.65 1.01 1.15 1.27
 691 F 5 3.47 3.59 3.71 8.13 8.25 8.35 0.40 0.61 0.83
 694 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 695 F 4 2.20 2.52 2.80 6.24 6.78 7.28 0.50 0.79 1.04
 696 F 6 3.78 3.84 3.89 7.61 7.66 7.72 0.49 0.56 0.62
 702 F 4 2.77 3.06 3.23 7.91 8.11 8.30 0.25 0.44 0.78
 703 F 6 2.68 3.14 3.39 6.42 6.49 6.56 0.74 0.87 0.98
 706 F 6 2.18 2.47 2.81 6.28 6.38 6.48 0.57 0.70 0.81
 707 F 6 2.37 3.02 3.35 7.76 7.95 8.26 0.62 1.01 1.46
 712 F 4 2.70 2.97 3.12 6.82 7.48 7.79 0.51 0.94 1.50
 714 F 5 2.63 3.40 3.61 7.70 8.25 8.52 0.31 0.55 0.85
 715 F 6 4.03 4.11 4.17 8.65 8.75 8.82 0.39 0.49 0.61
 716 F 6 3.18 3.53 3.66 7.63 8.13 8.22 0.26 0.38 0.72
 717 T 4 2.09 2.34 3.57 6.57 6.67 8.46 0.32 0.62 0.90
 718 F 6 2.09 2.14 2.21 6.76 6.82 6.87 0.32 0.37 0.44
 720 F 4 2.58 2.91 3.07 6.76 7.33 7.56 0.31 0.56 0.89
 728 F 5 2.73 3.35 3.71 7.71 8.07 8.49 0.50 0.92 1.38
 731 F 6 2.77 3.27 3.41 6.81 7.23 7.42 0.45 0.62 0.83
 732 F 6 2.20 2.38 2.63 6.51 6.59 6.66 0.50 0.58 0.73
 735 F 4 2.21 2.56 2.95 6.13 6.34 6.72 0.55 0.73 0.89
 736 F 6 3.13 3.32 3.48 7.59 7.77 8.05 1.09 1.51 1.89
 738 F 4 2.14 2.40 2.72 6.14 6.39 6.90 0.81 1.08 1.34
 743 F 4 2.78 2.91 3.02 7.47 7.63 7.76 0.19 0.32 0.49
 744 F 4 2.17 2.53 3.08 7.54 7.63 8.02 0.20 0.36 1.95
 747 F 6 3.74 3.83 3.92 7.87 7.93 7.99 0.29 0.36 0.46
 748 F 4 2.85 3.05 3.18 7.14 7.49 7.69 0.38 0.66 1.06
 749 F 6 2.88 3.18 3.39 7.79 7.95 8.13 0.59 0.92 1.27
 751 F 4 2.28 2.70 3.00 6.44 6.67 7.06 0.29 0.41 0.53
 752 T 6 2.59 2.89 3.08 6.56 7.82 7.92 0.27 0.45 1.79
 754 F 4 2.73 2.98 3.16 7.70 7.99 8.14 0.31 0.58 1.17
 755 F 6 2.98 3.26 3.45 7.77 8.01 8.21 0.28 0.50 0.80
 756 F 6 3.49 3.55 3.61 7.55 7.60 7.65 0.90 0.95 1.01
 759 F 6 3.02 3.17 3.31 7.49 7.56 7.66 0.18 0.33 0.44
 761 F 4 2.78 2.95 3.08 7.69 8.05 8.28 0.30 0.66 1.11
 763 F 5 2.50 3.12 3.46 7.82 8.19 8.60 0.45 0.88 1.37
 764 F 4 2.87 3.26 3.43 7.78 8.10 8.28 0.33 0.57 0.89
 766 F 5 2.60 3.44 3.75 7.76 8.29 8.87 0.49 0.96 1.44
 779 F 4 2.78 3.44 3.62 7.84 8.37 8.58 0.46 0.84 1.28
 781 F 6 2.65 2.86 3.03 7.80 7.87 7.97 0.25 0.43 0.65
 783 F 4 2.49 3.07 3.42 7.79 8.13 8.55 0.50 1.08 1.79
 784 F 3 2.19 2.50 2.83 6.16 6.48 6.97 0.80 1.14 1.48
 789 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 791 F 6 2.90 3.12 3.30 7.42 7.49 7.61 0.46 0.70 0.97
 796 F 6 2.17 2.50 2.91 7.31 7.36 7.43 0.58 0.66 0.88
 798 F 6 2.48 2.84 3.18 7.65 7.81 7.96 0.26 0.49 0.84
 803 F 6 3.10 3.38 3.53 8.16 8.43 8.64 0.48 0.86 1.24
 806 F 6 2.19 2.52 3.11 6.33 6.41 6.52 0.79 0.87 0.95
 808 F 4 2.65 3.17 3.45 7.71 7.97 8.25 0.58 1.04 1.53
 817 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 818 F 4 2.72 2.96 3.13 7.51 7.99 8.19 0.31 0.63 1.34
 821 T 5 2.63 2.98 3.19 6.86 7.46 8.11 0.44 1.65 2.10
 822 F 4 2.94 3.18 3.35 7.59 7.77 7.93 0.20 0.37 0.60
 823 F 6 2.78 3.05 3.27 7.76 7.92 8.09 0.59 0.94 1.29
 828 F 6 3.07 3.32 3.53 7.46 7.75 8.26 0.67 1.41 2.01
 829 F 6 2.19 2.49 2.86 6.20 6.36 6.76 1.12 1.27 1.50
 830 F 4 3.10 3.32 3.49 8.34 8.61 8.81 0.31 0.56 0.95
 832 F 6 2.68 2.89 2.97 7.37 7.43 7.50 0.24 0.32 0.41
 834 F 6 2.62 2.99 3.20 7.80 8.10 8.28 0.17 0.33 0.58
 835 T 6 2.48 3.49 4.52 6.64 7.99 9.36 0.79 2.49 4.20
 836 F 6 3.05 3.20 3.33 7.79 7.94 8.06 0.19 0.33 0.53
 837 F 4 2.67 3.17 3.32 7.67 7.95 8.10 0.27 0.48 0.74
 842 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 846 F 6 2.65 2.82 2.99 8.10 8.21 8.33 0.25 0.45 0.68
 848 T 4 2.23 2.47 3.35 6.55 6.64 7.81 0.31 0.45 0.63
 849 F 6 3.12 3.37 3.50 7.79 7.96 8.12 0.58 0.78 1.05
 852 F 3 2.48 3.04 3.37 7.82 8.09 8.51 0.42 0.77 1.24
 853 F 6 3.41 3.52 3.61 7.94 8.06 8.16 0.18 0.31 0.45
 857 F 4 2.32 2.86 3.25 6.41 6.62 6.83 1.01 1.17 1.28
 858 F 6 2.59 2.88 3.11 7.92 8.07 8.26 0.31 0.55 0.85
 860 F 4 2.77 2.97 3.13 7.53 7.93 8.14 0.30 0.61 1.14
 863 F 6 3.18 3.34 3.48 7.42 7.50 7.61 0.26 0.45 0.66
 864 F 4 2.91 3.35 3.53 7.67 7.97 8.18 0.35 0.61 0.95
 867 T 4 2.76 3.33 3.55 6.66 7.69 7.93 0.39 0.70 1.31
 868 T 5 2.93 3.38 3.75 7.55 7.83 8.86 0.67 1.56 2.28
 874 F 6 3.18 3.35 3.53 7.61 7.82 8.08 0.57 0.98 1.47
 876 F 4 2.11 2.34 2.60 6.03 6.08 6.21 0.72 0.81 0.89
 879 F 4 2.71 3.29 3.43 7.74 8.12 8.29 0.32 0.55 0.84
 882 T 5 3.04 3.81 4.07 7.77 8.64 9.09 0.43 0.91 1.67
 887 F 6 3.52 3.58 3.63 7.83 7.91 7.97 0.17 0.24 0.31
 891 T 3 2.26 2.62 2.89 6.46 7.17 7.72 0.69 1.13 1.53
 897 F 4 3.01 3.14 3.25 8.51 8.65 8.78 0.26 0.45 0.69
 898 F 6 2.92 3.05 3.16 7.87 7.95 8.06 0.23 0.40 0.57
 900 F 6 3.45 3.59 3.74 7.66 7.86 7.99 0.51 0.76 1.06
 901 F 4 2.82 3.07 3.24 7.81 7.95 8.09 0.24 0.41 0.70
 904 F 3 2.63 3.47 3.61 7.88 8.61 8.84 0.42 0.73 1.08
 907 F 4 2.68 3.10 3.36 7.70 7.93 8.19 0.48 0.83 1.36
 908 T 6 2.38 3.01 3.51 6.08 6.51 7.63 0.19 0.69 0.96
 909 F 4 2.62 3.06 3.33 6.53 6.64 6.82 0.18 0.26 0.35
 914 T 4 2.56 3.21 3.41 6.64 7.75 7.98 0.28 0.55 1.05
 916 F 4 2.82 2.99 3.12 7.75 8.05 8.23 0.29 0.61 1.05
 917 F 4 2.24 2.56 2.80 6.40 6.80 7.01 0.47 0.62 0.75
 923 F 5 3.40 3.74 3.92 7.79 8.63 8.92 0.32 0.63 1.49
 924 F 5 2.83 3.68 3.95 7.79 8.43 8.97 0.46 0.98 1.52
 925 F 6 4.50 4.55 4.60 8.14 8.20 8.26 0.84 1.01 1.07
 926 F 4 2.20 2.49 2.74 6.26 6.68 7.07 0.42 0.62 0.80
 928 F 6 3.23 3.41 3.75 7.25 7.47 7.87 0.26 0.34 0.44
 929 F 4 2.47 2.83 3.05 6.60 7.24 7.71 0.67 1.25 1.77
 930 T 4 2.44 3.18 3.52 6.58 7.78 8.06 0.26 0.51 0.84
 934 F 6 2.71 2.91 3.03 6.91 7.43 7.66 0.74 0.96 1.29
 938 F 4 2.73 3.12 3.39 7.63 7.89 8.15 0.46 0.84 1.37
 944 F 6 3.31 3.53 3.71 7.41 7.58 7.77 0.38 0.64 0.98
 945 F 4 2.82 3.35 3.59 6.55 6.61 6.97 0.75 2.19 2.34
 947 F 6 2.74 3.17 3.47 7.67 7.92 8.21 0.46 0.79 1.26
 952 T 5 2.47 2.88 3.15 6.41 6.68 7.79 0.52 2.20 2.41
 955 F 6 2.73 3.21 3.49 6.23 6.35 6.45 0.43 0.63 0.78
 959 F 6 2.93 3.13 3.30 7.71 7.84 7.99 0.36 0.59 0.88
 960 F 3 2.56 3.14 3.44 7.76 8.06 8.39 0.42 0.80 1.28
 962 F 4 2.25 2.58 3.00 6.60 6.72 6.83 0.26 0.35 0.44
 968 F 6 2.51 2.82 3.02 7.55 7.74 7.85 0.21 0.38 1.06
 970 F 6 2.88 3.16 3.37 7.90 8.07 8.22 0.54 0.88 1.21
 975 F 4 2.91 3.05 3.17 8.29 8.42 8.52 0.21 0.38 0.62
 977 F 6 2.70 3.15 3.33 7.86 8.23 8.43 0.40 0.69 1.05
 979 F 6 2.87 3.13 3.33 7.55 7.64 7.79 0.41 0.71 1.02
 984 F 3 2.69 3.12 3.36 7.95 8.36 8.65 0.34 0.65 1.11
 985 T 4 2.46 3.14 3.26 6.69 8.11 8.21 0.23 0.41 0.70
 987 F 4 2.41 2.92 3.11 6.54 7.02 7.29 0.71 0.97 1.21
 989 F 5 2.59 2.86 3.12 7.87 7.99 8.18 0.38 0.68 1.05
 991 F 4 2.16 2.47 3.06 6.05 6.18 6.75 0.73 0.89 1.07
1007 F 5 3.21 3.63 3.80 8.40 8.91 9.26 0.44 0.95 1.61
1009 F 4 2.93 3.27 3.44 7.76 8.02 8.21 0.41 0.67 0.95
1012 F 4 2.30 2.80 3.26 6.25 6.67 7.23 0.80 1.11 1.36
1013 T 4 2.34 3.34 3.53 6.66 8.11 8.38 0.19 0.37 0.75
1015 F 5 2.90 3.48 3.83 7.68 8.13 8.85 0.58 1.25 1.98
1018 F 5 2.92 3.14 3.30 8.44 8.66 8.87 0.41 0.70 1.06
1021 F 4 2.74 3.51 3.69 6.59 7.59 7.75 0.23 0.44 0.74
1023 F 6 2.27 2.54 2.94 6.51 6.57 6.64 0.27 0.38 0.46
1026 F 6 2.72 3.20 3.52 7.57 7.83 8.13 0.45 0.94 1.43
1033 F 6 3.10 3.29 3.43 7.62 7.79 7.90 0.89 1.10 1.35
1034 F 4 2.98 3.26 3.40 7.98 8.23 8.35 0.32 0.55 0.79
1038 F 4 2.61 3.00 3.27 7.80 8.00 8.21 0.45 0.86 1.34
1041 F 4 2.73 3.12 3.29 7.83 8.13 8.32 0.31 0.58 0.94
1043 F 3 2.47 2.98 3.30 7.82 8.09 8.51 0.40 0.74 1.38
1045 T 3 2.53 3.37 3.64 6.64 7.80 8.16 0.26 0.49 0.87
1046 F 4 2.82 3.14 3.34 7.73 7.84 7.93 0.27 0.46 0.70
1050 F 4 2.62 2.87 3.06 8.00 8.16 8.31 0.34 0.60 0.94
1051 F 4 2.59 2.74 2.87 7.78 8.01 8.17 0.31 0.52 0.81
1052 F 4 2.64 2.79 2.90 7.47 7.63 7.77 0.18 0.30 0.45
1054 F 6 3.53 3.69 3.89 8.13 8.25 8.40 0.57 0.90 1.25
1062 F 3 2.89 3.15 3.36 8.31 8.57 8.80 0.35 0.63 1.05
1063 T 6 2.46 3.46 4.51 6.65 7.96 9.35 0.74 2.46 4.19
1064 T 6 2.66 3.22 3.47 6.22 7.65 7.90 0.49 0.82 2.01
1066 F 6 2.80 3.43 3.63 7.74 8.09 8.27 0.37 0.90 1.22
1069 F 6 2.22 2.67 3.07 6.43 6.63 6.77 0.80 0.90 0.98
1070 F 6 2.93 3.11 3.25 7.67 7.77 7.92 0.41 0.61 0.84
1072 F 4 2.69 3.26 3.57 7.59 7.88 8.25 0.45 0.82 1.39
1074 F 4 2.26 2.65 3.01 6.24 6.42 6.75 0.26 0.39 0.52
1078 F 6 3.26 3.44 3.55 7.99 8.20 8.31 0.28 0.49 0.71
1080 F 6 2.87 3.13 3.32 7.61 7.78 7.95 0.42 0.69 1.08
1084 F 6 3.54 3.62 3.70 7.37 7.42 7.48 0.40 0.50 0.62
1085 F 6 2.65 2.87 3.05 7.65 7.79 7.91 0.38 0.63 1.01
1091 F 6 2.31 2.51 2.80 7.50 7.57 7.67 0.38 0.74 1.02
