Title: The Panchromatic Hubble Andromeda Treasury: Triangulum Extended 
       Region (PHATTER). IV. Star Cluster Catalog  
Authors: Johnson L.C., Wainer T.M., TorresVillanueva E.E., Seth A.C., 
         Williams B.F., Durbin M.J., Dalcanton J.J., Weisz D.R., Bell E.F.,
         Guhathakurta P., Skillman E., Smercina A. 
Table: SLUG Results
================================================================================
Byte-by-byte Description of file: apjac8deft3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label       Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---         ID          PHATTER Catalog ID
       6 A1     ---         ErrCutFlag  Exclude flag (1)
       8 I1     ---         Nfilters    Number of filters used for fit
  10- 13 F4.2   [solMass]   logM-P16    The 16th percentile of log Mass PDF (2)
  15- 18 F4.2   [solMass]   logM-P50    The 50th percentile of log Mass PDF (2)
  20- 23 F4.2   [solMass]   logM-P84    The 84th percentile of log Mass PDF (2)
  25- 28 F4.2   [yr]        logAge-P16  The 16th percentile of log Age PDF (2)
  30- 33 F4.2   [yr]        logAge-P50  The 50th percentile of log Age PDF (2)
  35- 38 F4.2   [yr]        logAge-P84  The 84th percentile of log Age PDF (2)
  40- 43 F4.2   mag         AV-P16      The 16th percentile of AV PDF (2)
  45- 48 F4.2   mag         AV-P50      The 50th percentile of AV PDF (2)
  50- 53 F4.2   mag         AV-P84      The 84th percentile of AV PDF (2)
--------------------------------------------------------------------------------
Note (1): Set to true for clusters with large uncertainties (16th to 84th
          percentile range >1.2 dex in age or >1.3 dex in mass).
Note (2): Percentiles of the marginalized 1D PDFs.
--------------------------------------------------------------------------------
  77 T 4 2.17 2.35 3.39 6.54 6.63 8.19 0.31 0.51 0.77
  79 F 4 3.19 3.52 3.62 7.75 8.21 8.32 0.24 0.41 0.61
  80 F 6 3.16 3.36 3.50 7.55 7.69 7.84 0.32 0.49 0.78
  81 T 4 2.65 4.05 4.14 6.63 8.52 8.64 0.28 0.50 1.16
  82 F 6 3.19 3.30 3.40 7.61 7.67 7.74 0.27 0.37 0.51
  84 F 6 3.77 3.85 3.94 7.63 7.72 7.81 0.31 0.44 0.53
  85 T 6 2.34 3.93 4.06 7.44 8.40 8.51 0.28 0.51 0.71
  86 F 4 2.96 3.31 3.44 7.92 8.42 8.56 0.29 0.51 0.81
  87 T 4 2.14 2.44 3.50 6.58 7.66 8.43 0.23 0.48 0.70
  88 F 4 4.09 4.20 4.28 8.10 8.25 8.34 0.31 0.46 0.67
  89 F 4 2.21 2.38 2.66 6.53 6.61 6.69 0.27 0.39 0.59
  90 F 4 2.53 3.07 3.44 7.68 7.82 8.11 0.29 0.47 0.80
  91 F 6 4.17 4.23 4.29 8.17 8.23 8.28 0.28 0.38 0.46
  92 F 3 2.86 3.27 3.44 7.93 8.41 8.61 0.29 0.53 0.88
  93 F 6 3.30 3.40 3.50 8.40 8.50 8.59 0.32 0.52 0.73
  94 F 4 2.41 3.38 3.54 7.72 8.35 8.51 0.26 0.47 0.77
  95 F 6 3.77 3.87 3.95 8.11 8.21 8.28 0.18 0.29 0.37
  96 F 6 2.26 2.82 3.49 6.54 6.67 6.84 0.38 0.50 0.62
  98 F 6 3.93 4.07 4.15 7.25 7.35 7.64 0.20 0.70 0.83
  99 F 6 3.87 4.05 4.16 8.06 8.13 8.19 0.25 0.52 0.67
 100 F 6 4.14 4.28 4.38 7.84 8.07 8.21 0.29 0.47 0.66
 101 F 6 4.17 4.23 4.29 8.60 8.69 8.78 0.24 0.34 0.46
 102 T 4 2.75 3.25 4.25 7.05 7.17 8.27 0.29 0.57 0.91
 103 F 5 4.37 4.47 4.56 8.40 8.60 8.76 0.27 0.46 0.84
 104 F 6 4.42 4.47 4.52 7.69 7.74 7.79 0.11 0.16 0.20
 105 T 5 2.51 3.44 4.17 6.98 7.47 8.30 0.56 1.03 2.05
 106 F 6 2.46 2.91 3.26 6.40 6.54 6.75 0.45 0.55 0.64
 107 F 3 2.71 3.01 3.18 7.96 8.22 8.37 0.29 0.55 0.94
 109 F 6 3.71 3.90 4.01 8.10 8.25 8.34 0.64 0.75 1.12
 110 F 6 3.86 3.95 4.02 8.07 8.16 8.23 0.25 0.32 0.42
 111 F 6 4.17 4.27 4.33 8.09 8.15 8.21 0.41 0.50 0.59
 112 F 4 3.58 4.03 4.14 7.53 8.11 8.25 0.29 0.52 0.85
 113 F 5 2.44 2.50 2.57 6.71 6.76 6.81 0.19 0.25 0.35
 115 F 6 3.86 3.95 4.01 8.01 8.26 8.32 0.11 0.18 0.54
 116 T 4 2.38 3.75 3.86 7.65 8.60 8.76 0.27 0.49 0.82
 117 T 4 2.23 2.79 3.64 7.64 7.78 8.52 0.25 0.40 0.64
 118 F 4 2.51 2.72 3.18 6.50 6.64 6.76 0.43 0.51 0.63
 119 F 6 4.16 4.22 4.26 8.11 8.17 8.22 1.43 1.48 1.53
 120 T 6 2.34 2.99 3.96 6.57 6.67 7.58 0.49 0.89 0.99
 123 F 5 3.47 3.87 4.10 7.84 8.44 8.83 0.40 0.81 1.43
 124 T 4 2.89 3.59 4.17 6.56 6.78 7.83 1.48 2.25 2.97
 125 T 4 2.73 3.30 3.41 6.71 7.84 7.93 0.14 0.23 0.59
 128 F 6 3.98 4.04 4.11 8.50 8.57 8.65 0.14 0.29 0.40
 129 T 6 2.26 4.10 4.21 7.51 8.67 8.84 0.30 0.47 0.71
 130 T 4 2.35 2.54 4.12 6.47 6.56 8.09 0.31 0.45 0.70
 131 F 4 3.05 3.49 3.65 7.61 7.93 8.14 0.27 0.47 0.73
 133 F 6 3.79 3.89 3.95 8.24 8.31 8.37 0.69 0.88 1.00
 134 F 4 3.41 3.74 3.86 7.73 8.07 8.23 0.27 0.49 0.77
 136 F 6 3.67 3.74 3.80 8.05 8.16 8.25 0.19 0.36 0.51
 139 F 4 2.11 2.30 2.52 6.58 6.63 6.70 0.29 0.41 0.50
 140 F 6 3.42 3.71 3.88 7.71 7.96 8.18 0.43 0.71 0.99
 141 T 4 2.29 3.48 3.71 7.55 8.01 8.29 0.29 0.55 0.89
 142 F 4 2.62 3.48 3.67 7.70 8.26 8.53 0.50 0.91 1.34
 143 F 6 3.60 3.84 4.09 7.04 7.13 7.57 0.12 0.22 0.47
 144 F 6 3.74 3.80 3.85 7.39 7.45 7.50 1.21 1.28 1.34
 145 F 4 2.22 2.54 3.01 6.04 6.12 6.52 0.56 0.73 0.90
 146 F 4 2.76 3.35 3.47 6.59 7.25 7.37 0.46 0.58 0.73
 148 F 4 3.16 3.49 3.63 7.76 7.98 8.10 0.11 0.22 0.39
 149 F 6 3.86 3.95 4.03 8.33 8.42 8.49 0.33 0.46 0.59
 150 F 6 3.36 3.48 3.56 7.55 7.63 7.77 0.22 0.41 0.67
 151 F 6 3.41 3.54 3.66 7.76 7.91 8.13 0.35 0.70 0.91
 152 F 4 3.17 3.60 3.75 7.65 8.03 8.22 0.28 0.51 0.83
 153 F 6 3.06 3.34 3.50 7.81 8.01 8.17 0.45 0.70 0.97
 154 T 3 2.74 3.68 4.02 7.59 8.25 8.83 0.47 0.92 1.56
 155 T 3 2.49 4.11 4.35 7.18 8.34 8.94 0.44 1.08 1.65
 156 F 6 3.65 3.84 3.98 7.47 7.59 7.74 0.48 0.73 1.13
 157 F 6 3.74 3.93 4.06 7.70 7.91 8.08 0.31 0.47 0.69
 161 F 3 2.76 3.60 3.83 7.65 8.21 8.54 0.35 0.63 1.02
 162 F 6 3.20 3.46 3.64 7.75 7.95 8.09 0.44 0.75 1.06
 163 F 6 2.32 2.75 3.28 6.28 6.43 6.52 1.21 1.35 1.47
 164 F 6 3.68 3.81 3.89 7.87 7.99 8.09 0.46 0.62 0.87
 165 T 4 2.38 2.87 3.67 6.54 6.67 7.77 0.25 0.44 0.72
 168 F 6 3.93 4.06 4.17 8.44 8.68 8.80 0.22 0.42 0.62
 169 F 4 2.35 2.65 3.21 6.59 6.67 7.74 0.21 0.38 0.53
 170 F 6 3.60 3.71 3.79 7.73 7.84 7.93 0.28 0.39 0.58
 171 T 6 2.37 2.75 4.06 7.49 7.73 8.68 0.55 0.83 1.43
 173 F 6 3.26 3.60 3.83 7.54 7.80 8.02 0.45 0.80 1.14
 174 F 5 2.56 3.33 3.52 7.78 8.36 8.61 0.31 0.54 0.84
 175 F 4 3.19 3.34 3.44 8.34 8.49 8.60 0.24 0.41 0.69
 176 F 4 3.05 3.56 3.68 7.78 8.23 8.35 0.35 0.58 0.83
 177 F 6 3.47 3.71 3.85 7.66 7.90 8.09 0.24 0.43 0.67
 178 F 6 3.28 3.39 3.50 8.23 8.32 8.41 0.18 0.31 0.52
 179 F 6 3.52 3.65 3.74 7.17 7.28 7.44 0.61 0.78 0.96
 180 F 6 3.84 3.92 4.03 7.50 7.57 7.65 0.16 0.25 0.38
 181 T 4 2.21 3.44 3.67 6.61 8.06 8.41 0.29 0.55 0.85
 182 T 4 2.55 3.48 3.87 6.52 7.41 7.79 0.24 0.50 0.95
 184 F 5 3.18 3.42 3.56 8.23 8.52 8.70 0.31 0.53 0.79
 186 F 6 2.56 3.60 3.71 7.67 8.43 8.57 0.20 0.36 0.60
 187 T 3 2.20 2.87 4.32 7.19 7.51 8.74 0.45 0.82 1.60
 189 F 4 2.35 2.88 3.48 6.55 6.70 7.69 0.30 0.55 0.89
 191 F 4 2.50 3.24 3.50 6.54 7.00 7.48 0.44 0.69 0.99
 192 F 6 3.79 3.84 3.89 7.68 7.74 7.79 0.32 0.37 0.43
 195 F 4 3.37 3.78 3.87 7.77 8.21 8.29 0.16 0.28 0.41
 198 T 4 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 199 F 4 2.71 3.11 3.35 7.72 7.89 8.11 0.41 0.72 1.13
 200 F 6 3.62 3.86 3.99 7.07 7.30 7.51 0.71 1.06 2.12
 201 F 6 3.43 3.56 3.72 7.12 7.21 7.39 0.75 0.99 1.18
 202 F 6 3.40 3.67 3.84 7.81 8.12 8.33 0.33 0.55 0.83
 204 F 6 3.83 3.91 3.98 8.44 8.59 8.69 0.04 0.17 0.33
 205 F 3 2.83 3.77 3.92 7.76 8.51 8.71 0.32 0.56 0.87
 208 T 4 2.47 3.34 3.66 6.53 7.42 7.79 0.30 0.58 1.28
 209 F 6 2.92 3.28 3.48 6.92 7.72 7.93 0.33 0.60 1.68
 211 T 6 2.66 3.77 4.35 6.82 7.55 9.18 0.47 1.95 4.03
 212 F 6 3.90 4.01 4.09 8.22 8.36 8.45 0.21 0.37 0.56
 213 F 6 4.01 4.13 4.22 7.79 7.96 8.05 0.21 0.37 0.49
 214 F 6 4.33 4.43 4.51 8.56 8.67 8.76 0.35 0.48 0.70
 215 F 4 2.59 3.44 3.58 7.64 8.11 8.29 0.25 0.44 0.73
 216 F 6 2.29 2.69 3.07 6.10 6.21 6.31 1.22 1.33 1.43
 217 F 4 2.50 3.31 3.50 6.57 7.27 7.62 0.43 0.70 1.02
 218 F 4 3.15 3.50 3.63 7.85 8.22 8.35 0.33 0.57 0.80
 222 F 6 3.02 3.43 3.52 7.61 8.05 8.15 0.17 0.31 0.54
 223 F 3 2.96 3.78 4.04 7.59 8.22 8.63 0.39 0.73 1.17
 224 F 6 2.34 2.68 2.76 6.94 7.00 7.06 0.48 0.63 0.74
 225 F 5 3.98 4.11 4.23 8.41 8.63 8.85 0.57 0.96 1.34
 226 F 6 4.11 4.22 4.32 8.44 8.67 8.83 0.33 0.62 1.06
 230 F 4 3.79 3.88 3.96 8.41 8.53 8.63 0.25 0.44 0.66
 231 T 4 2.70 3.21 3.44 6.77 7.81 7.99 0.27 0.49 0.82
 233 T 6 2.40 3.44 4.50 6.66 7.94 9.34 0.69 2.44 4.18
 235 F 6 3.20 3.43 3.56 7.53 7.73 7.85 0.24 0.41 0.64
 238 F 3 2.50 3.31 3.55 7.68 8.13 8.40 0.30 0.56 0.93
 240 F 6 4.20 4.25 4.30 7.39 7.43 7.49 0.59 0.64 0.69
 241 F 4 2.87 3.24 3.46 7.58 7.81 7.96 0.28 0.49 0.97
 242 F 3 2.54 3.36 3.60 7.68 8.15 8.45 0.31 0.57 0.95
 243 F 4 3.34 3.86 4.02 7.81 8.56 8.77 0.38 0.67 1.07
 244 F 6 2.98 3.20 3.38 7.79 7.94 8.07 0.30 0.46 0.73
 245 F 6 2.99 3.34 3.61 7.58 7.84 8.07 0.59 1.04 1.46
 246 F 6 3.69 3.83 3.92 8.08 8.24 8.32 0.17 0.32 0.51
 247 F 6 2.13 2.31 2.56 6.06 6.15 6.27 0.78 0.86 0.95
 248 F 6 3.91 4.00 4.07 7.19 7.27 7.38 0.27 0.41 0.50
 249 F 4 3.14 3.56 3.75 7.21 7.55 7.77 0.31 0.63 1.21
 251 T 5 2.84 3.68 3.93 6.70 7.74 8.13 0.25 0.49 1.54
 253 F 5 2.52 3.21 3.50 7.67 7.89 8.37 0.25 0.46 0.82
 254 F 4 3.59 3.70 3.77 8.09 8.23 8.32 0.22 0.37 0.58
 255 F 4 2.95 3.10 3.22 7.37 7.65 7.85 0.42 0.74 1.11
 257 F 4 3.62 3.74 3.83 8.24 8.37 8.47 0.36 0.56 0.78
 259 F 6 3.78 3.95 4.05 7.83 7.92 8.00 0.13 0.31 0.47
 260 F 6 3.55 3.67 3.77 8.13 8.25 8.37 0.60 0.90 1.10
 262 F 6 2.20 2.47 2.77 6.19 6.30 6.38 0.56 0.68 0.79
 264 F 6 3.66 4.22 4.34 7.05 7.41 7.55 0.51 0.66 0.89
 265 T 4 2.11 3.26 3.44 6.62 8.36 8.52 0.25 0.50 0.92
 266 T 4 2.27 3.57 3.73 7.60 8.39 8.54 0.21 0.35 0.56
 267 F 5 4.18 4.35 4.45 8.46 8.85 9.10 0.58 1.01 1.49
 268 T 6 2.83 4.07 4.21 6.99 7.41 9.01 0.67 1.40 3.85
 269 F 6 2.91 3.36 3.46 6.68 7.39 7.51 0.30 0.42 0.61
 270 F 6 3.48 3.56 3.63 7.36 7.43 7.50 0.17 0.26 0.36
 271 T 3 2.37 4.76 4.92 6.82 8.39 8.91 0.41 0.99 1.31
 273 F 4 2.94 3.05 3.16 7.55 7.71 7.85 0.35 0.57 0.80
 274 F 6 3.20 3.32 3.44 7.96 8.06 8.16 0.37 0.62 0.81
 275 F 4 2.29 2.76 3.11 6.42 6.75 7.12 0.60 0.82 1.01
 277 F 4 2.75 3.36 3.52 7.72 8.14 8.30 0.44 0.70 1.02
 279 T 4 2.25 2.96 3.34 6.60 7.68 8.06 0.27 0.50 0.72
 280 F 6 4.13 4.21 4.29 6.88 7.03 7.21 0.30 0.45 0.67
 283 F 4 2.92 3.87 4.03 7.53 8.29 8.48 0.30 0.56 0.99
 284 F 6 4.15 4.24 4.33 8.52 8.67 8.81 0.56 0.88 1.15
 285 F 5 3.47 3.87 3.99 7.94 8.52 8.74 0.38 0.65 0.89
 287 F 4 2.11 2.28 3.12 6.60 6.66 7.57 0.23 0.30 0.38
 289 T 6 2.27 3.52 3.67 7.66 8.41 8.56 0.19 0.32 0.50
 290 F 5 3.62 3.78 3.89 8.07 8.17 8.26 0.53 0.81 1.03
 291 F 6 2.93 3.16 3.34 7.73 7.91 8.05 0.43 0.69 1.00
 292 F 6 2.47 2.71 3.43 7.55 7.70 8.23 0.24 0.37 0.70
 293 F 6 2.51 3.58 3.67 7.71 8.52 8.63 0.22 0.39 0.60
 294 F 3 2.28 2.72 3.24 6.10 6.42 6.70 0.43 0.72 1.03
 296 F 5 3.01 3.38 3.75 7.40 7.61 7.92 0.44 0.83 1.33
 298 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 299 F 4 2.58 3.31 3.51 7.62 7.99 8.25 0.31 0.56 0.88
 300 T 6 2.60 3.87 4.47 6.76 7.63 9.24 0.71 2.13 4.09
 302 F 4 2.71 3.44 3.60 7.33 7.97 8.19 0.25 0.47 0.80
 303 F 5 3.64 3.86 4.03 8.40 8.70 8.88 0.35 0.61 1.03
 308 F 6 3.59 3.98 4.12 7.84 8.55 8.81 0.42 0.80 1.18
 309 F 6 3.21 3.42 3.54 8.31 8.52 8.67 0.37 0.61 0.90
 310 F 5 3.50 3.68 3.86 8.01 8.36 8.60 0.35 0.71 1.33
 311 F 4 2.73 3.77 3.91 7.70 8.46 8.65 0.31 0.55 0.92
 312 F 4 2.88 3.42 3.54 7.87 8.47 8.61 0.29 0.52 0.86
 313 F 6 3.61 3.68 3.76 8.36 8.42 8.49 0.25 0.37 0.50
 314 F 4 3.21 3.74 4.16 6.59 7.18 7.78 0.65 1.24 2.04
 315 F 4 2.64 3.27 3.40 7.76 8.17 8.31 0.27 0.47 0.76
 316 F 6 3.07 3.26 3.41 7.57 7.74 7.93 0.41 0.68 1.00
 317 F 4 2.63 3.46 3.61 7.67 8.19 8.39 0.30 0.56 0.90
 318 F 3 2.63 3.51 3.84 7.59 8.03 8.54 0.48 1.05 1.66
 319 F 6 2.84 3.19 3.44 7.70 7.84 8.11 0.28 0.48 0.76
 321 F 6 3.15 3.41 3.58 7.87 8.09 8.23 0.52 0.82 1.13
 322 F 6 2.87 3.13 3.31 7.49 7.63 7.83 0.34 0.58 0.94
 324 F 5 3.65 3.80 3.92 8.45 8.64 8.83 0.46 0.74 1.03
 326 F 6 3.48 3.66 3.75 8.12 8.26 8.37 0.67 1.03 1.26
 328 F 4 2.39 3.28 3.44 7.69 8.28 8.45 0.26 0.48 0.85
 330 F 5 2.51 2.90 3.40 7.61 7.81 8.04 0.53 0.93 1.47
 331 F 4 3.55 3.72 3.83 8.42 8.59 8.76 0.55 0.82 1.14
 334 F 6 3.35 3.50 3.62 7.86 8.01 8.13 0.25 0.42 0.61
 338 T 3 2.60 3.67 3.92 7.68 8.43 8.75 0.37 0.69 1.16
 342 F 4 3.46 3.81 3.95 7.78 8.26 8.43 0.30 0.55 0.89
 343 F 6 3.96 4.02 4.08 8.50 8.57 8.64 0.12 0.24 0.37
 344 F 4 2.43 2.99 3.23 6.67 6.98 7.33 1.08 1.34 1.50
 345 T 4 2.23 3.49 3.63 6.64 8.32 8.45 0.22 0.43 0.71
 347 F 4 2.99 3.35 3.52 7.63 7.84 8.00 0.26 0.43 0.67
 348 F 3 2.47 3.33 3.51 7.84 8.47 8.74 0.38 0.66 0.99
 349 F 3 2.55 3.25 3.46 7.76 8.23 8.51 0.28 0.51 0.86
 350 F 4 2.36 2.87 3.31 6.25 6.56 6.82 0.39 0.58 0.76
 351 F 6 2.66 3.31 3.50 7.80 8.31 8.57 0.35 0.62 0.96
 352 T 4 2.73 3.12 3.25 6.64 7.85 7.96 0.16 0.32 0.65
 354 F 4 3.14 3.30 3.41 8.29 8.47 8.60 0.29 0.51 0.83
 355 F 6 3.05 3.16 3.24 7.60 7.70 7.80 0.17 0.27 0.37
 356 F 6 3.71 3.81 3.90 7.85 7.95 8.03 0.20 0.34 0.49
 358 F 4 2.41 2.87 3.23 6.51 6.64 6.79 0.15 0.23 0.31
 361 F 6 2.73 2.97 3.15 7.95 8.09 8.25 0.29 0.49 0.73
 363 F 6 3.77 3.89 3.99 8.11 8.23 8.34 0.65 0.84 1.07
 365 F 6 2.80 2.86 2.91 7.45 7.49 7.55 0.96 1.01 1.06
 369 F 6 3.25 3.57 3.77 7.59 7.82 8.01 0.51 0.82 1.12
 370 F 5 3.75 4.02 4.18 8.29 8.81 9.10 0.54 1.00 1.76
 371 F 6 3.22 3.40 3.53 8.09 8.23 8.37 0.53 0.85 1.10
 372 F 6 3.65 3.79 3.89 7.78 7.99 8.10 0.39 0.58 0.83
 374 T 6 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 375 F 4 2.42 2.94 3.21 6.65 6.86 7.07 0.82 0.97 1.11
 376 F 4 2.26 2.74 3.05 6.56 6.88 7.24 0.26 0.42 0.58
 377 F 6 4.15 4.24 4.33 6.98 7.18 7.29 0.26 0.37 0.64
 378 F 4 2.73 3.14 3.56 6.40 6.48 6.67 0.33 0.42 0.51
 379 F 6 2.91 3.14 3.29 7.86 8.03 8.17 0.40 0.61 0.87
 380 F 4 2.41 2.94 3.57 6.54 6.70 7.69 0.32 0.58 0.97
 382 F 5 2.99 3.34 3.59 7.67 7.93 8.17 0.38 0.65 1.00
 386 F 6 2.97 3.46 3.63 7.78 8.11 8.30 0.53 0.86 1.19
 387 F 6 3.08 3.42 3.62 7.52 7.77 7.94 0.59 0.93 1.39
 388 T 5 2.48 3.50 4.52 6.64 8.00 9.36 0.80 2.50 4.20
 392 F 6 2.17 2.40 2.68 6.03 6.09 6.17 0.89 0.99 1.09
 393 F 4 2.53 3.51 3.68 7.72 8.41 8.60 0.35 0.63 1.02
 394 F 3 2.63 3.21 3.41 7.72 8.03 8.25 0.31 0.55 0.89
 396 F 6 2.99 3.35 3.58 7.73 7.95 8.16 0.68 1.09 1.48
 397 F 4 2.27 2.72 3.19 6.10 6.37 6.75 0.51 0.75 0.97
 399 F 4 2.22 2.63 3.25 6.06 6.20 6.71 0.36 0.51 0.68
 406 F 5 3.44 3.66 3.80 8.24 8.47 8.70 0.44 0.75 1.05
 407 F 4 2.65 3.19 3.35 7.62 8.01 8.19 0.27 0.49 0.84
 408 F 4 3.02 3.32 3.48 8.07 8.58 8.79 0.35 0.66 1.16
 409 F 5 3.77 3.96 4.11 8.40 8.60 8.87 0.32 0.62 1.17
 412 F 4 2.46 3.25 3.43 7.75 8.22 8.44 0.32 0.59 0.95
